                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34967,                    0.6,                      1,                 0.6474,              0.0002362,              0.0002362,              0.0002362
                      2,                0.26137,                  0.675,                      1,                0.61617,              0.0004695,              0.0004695,              0.0004695
                      3,                0.24424,                 0.6325,                      1,                0.62094,              0.0006981,              0.0006981,              0.0006981
                      4,                0.23328,                   0.72,                      1,                0.59788,             0.00069279,             0.00069279,             0.00069279
                      5,                0.22071,                   0.73,                      1,                 0.5936,             0.00069279,             0.00069279,             0.00069279
                      6,                0.20274,                   0.74,                      1,                0.57946,             0.00068573,             0.00068573,             0.00068573
                      7,                 0.1897,                   0.74,                      1,                0.58278,             0.00067866,             0.00067866,             0.00067866
                      8,                0.18587,                 0.7525,                      1,                0.56842,             0.00067159,             0.00067159,             0.00067159
                      9,                 0.1846,                 0.7625,                      1,                0.56376,             0.00066452,             0.00066452,             0.00066452
                     10,                0.17868,                 0.7925,                      1,                 0.5598,             0.00065745,             0.00065745,             0.00065745
                     11,                0.17013,                  0.755,                      1,                0.56468,             0.00065038,             0.00065038,             0.00065038
                     12,                 0.1755,                  0.765,                      1,                 0.5692,             0.00064331,             0.00064331,             0.00064331
                     13,                0.17372,                  0.775,                      1,                0.56939,             0.00063625,             0.00063625,             0.00063625
                     14,                0.16315,                 0.7575,                      1,                0.56661,             0.00062918,             0.00062918,             0.00062918
                     15,                0.15698,                 0.7925,                      1,                0.55426,             0.00062211,             0.00062211,             0.00062211
                     16,                0.14828,                  0.755,                      1,                0.56922,             0.00061504,             0.00061504,             0.00061504
                     17,                0.15311,                   0.78,                      1,                0.55715,             0.00060797,             0.00060797,             0.00060797
                     18,                0.14651,                 0.7775,                      1,                0.55242,              0.0006009,              0.0006009,              0.0006009
                     19,                0.14211,                 0.7725,                      1,                0.55985,             0.00059383,             0.00059383,             0.00059383
                     20,                0.14734,                   0.78,                      1,                0.55968,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.1424,                   0.77,                      1,                0.56239,              0.0005797,              0.0005797,              0.0005797
